10
1,4,174.467,643.817
1,5,304.169,425.383
1,6,264.041,302.455
1,7,633.202,430.776
1,8,361.084,590.435
1,9,476.017,352.603
1,10,205.716,756.289
1,11,478.328,495.215
1,12,449.175,498.188
1,13,669.672,357.089
2,4,177.165,644.006
2,5,303.694,424.02
2,6,263.461,303.76
2,7,633.373,430.599
2,8,360.591,589.834
2,9,476.58,353.591
2,10,204.424,756.06
2,11,478.587,495.034
2,12,449.934,497.621
2,13,670.792,356.109
3,4,176.514,644.208
3,5,303.706,423.772
3,6,261.932,304.569
3,7,633.804,431.308
3,8,359.331,589.726
3,9,475.272,354.243
3,10,202.791,757.3
3,11,479.159,495.368
3,12,450.436,496.413
3,13,670.557,357.161
4,4,175.029,642.848
4,5,303.775,423.46
4,6,263.317,304.941
4,7,631.902,430.644
4,8,360.341,589.95
4,9,474.716,355.102
4,10,203.585,756.961
4,11,480.866,495.452
4,12,450.111,497.275
4,13,668.812,357.732
5,4,177.635,641.415
5,5,302.823,421.915
5,6,265.409,306.242
5,7,629.272,430.65
5,8,359.121,587.966
5,9,473.811,352.334
5,10,205.635,758.551
5,11,481.002,495.091
5,12,450.99,497.074
5,13,669.468,356.808
6,4,178.012,640.054
6,5,302.461,420.964
6,6,264.19,306.649
6,7,630.929,428.064
6,8,359.785,588.784
6,9,473.361,352.417
6,10,203.392,757.372
6,11,482.082,495.065
6,12,449.842,497.558
6,13,672.317,355.52
7,4,178.442,642.158
7,5,302.085,420.631
7,6,266.828,306.887
7,7,632.048,429.595
7,8,359.692,586.162
7,9,473.844,353.73
7,10,202.75,757.804
7,11,480.543,497.286
7,12,447.738,498.707
7,13,672.321,355.782
8,4,178.404,641.779
8,5,302.673,421.612
8,6,264.673,306.295
8,7,632.702,428.499
8,8,360.628,587.756
8,9,473.924,354.385
8,10,201.556,758.302
8,11,482.429,496.031
8,12,447.24,497.71
8,13,672.748,355.582
9,4,176.983,640.7
9,5,302.522,421.864
9,6,265.524,307.195
9,7,634.673,429.774
9,8,360.284,589.837
9,9,475.081,353.576
9,10,202.059,758.2
9,11,483.063,496.374
9,12,446.669,497.502
9,13,673.552,354.039
10,4,176.209,640.521
10,5,303.404,422.691
10,6,267.748,308.015
10,7,635.159,430.265
10,8,359.911,590.73
10,9,474.067,353.216
10,10,203.104,756.997
10,11,482.563,497.066
10,12,446.19,496.45
10,13,674.385,354.04
